chapter_id,chapter_name,zone,region,chapter_type,account_type,city,state,country,lat,lon,snapshot_date
a0M6g00000W35Hp,NSBE Birmingham Professionals,Professional Zone,Region 3,Professional Chapter,Chapter,Birmingham,Alabama,United States,32.478243484197556,-86.83542782753734,2026-06-19
a0M6g00000W35Hr,North Alabama Professionals,Professional Zone,Region 3,Professional Chapter,Chapter,HUNTSVILLE,Alabama,United States,32.60688027097367,-86.85515994939276,2026-06-19
a0M6g00000W35I2,"Montgomery, AL Professionals NSBE Chapter",Professional Zone,Region 3,Professional Chapter,Chapter,MONTGOMERY,Alabama,United States,33.05405315128772,-86.97737235989426,2026-06-19
a0M6g00000W36OI,Lawson State Community College,Primary Zone,Region 3,Collegiate Chapter,Chapter,Birmingham,Alabama,United States,32.497482919182346,-86.94416127558459,2026-06-19
a0M6g00000W36Op,University of Alabama-Birmingham NSBE Chapter,Primary Zone,Region 3,Collegiate Chapter,Chapter,Birmingham,Alabama,United States,32.66218663043668,-86.67778843969117,2026-06-19
a0MUJ000004UyNp,Enrichment 2 Innovation NSBE Jr. Chapter,,Region 3,NSBE Jr. Chapter,Non-Member,Huntsville,Alabama,United States,32.8465935066389,-86.59240125362551,2026-06-19
a0MUJ000006xj7J,Jacksonville State University NSBE Chapter,,Region 3,Collegiate Chapter,Non-Member,Jacksonville,Alabama,United States,32.92169047822917,-86.85665919699194,2026-06-19
a0M6g00002WL8oA,University of Calgary,,Region 6,Collegiate Chapter,Non-Member,Calgary,Alberta,Canada,54.153114269266226,-116.8096189560646,2026-06-19
a0M6g00000BqR4K,Arizona State University,Southwest Zone,Region 6,Collegiate Chapter,Chapter,Tempe,Arizona,United States,33.395657451193706,-111.71818749745704,2026-06-19
a0M6g00000BqR5A,University of Arizona NSBE Chapter,Southwest Zone,Region 6,Collegiate Chapter,Chapter,Tucson,Arizona,United States,33.885410545417514,-111.45790693882402,2026-06-19
a0MUJ000001WsuL,Grand Canyon University NSBE Chapter,,Region 6,Collegiate Chapter,Non-Member,Phoenix,Arizona,United States,33.49264924532352,-111.43048965742764,2026-06-19
